新聞標題,是否適宜觀看
挑戰美國總統大選結果 霍利忠誠川普或想吸收川粉？,1
台中干城、台南平實地上權大案 明年下半年登場,1
以70年代氛圍闡述戶外探險　The North Face攜GUCCI踏不凡之旅,1
逾40國禁英航班！ 倫敦如武漢被視為「瘟神」,1
澄清「僅中共官方出版品要審查」　文化部：那是宣傳品不是書,1
台南農改場發表研發成果 新品種高梁水稻、作業車吸睛,1
美到像愛麗絲仙境！ 日照明大師LED施魔法,1
新冠疫苗開打了！全球競爭疫情終點線 台灣起步早為何還落後？,1
【迷蹤四十天】「想撿錢才摔下30樓」 中橫失蹤男說詞姊否認,1
悠遊卡自動加值回饋方案出爐 不用搶登錄也有5％,1
美副總統彭斯施打疫苗：心碎都將過去,1
為什麼只有人接吻，而大多數動物不會？,1
哪款手機CP值最高？ 網狂推「國產這隻」超好用,1
國中當班長遭導師猥褻捏胸頂下體 審到她26歲了還沒完,0
桃園遊具怎麼玩 孩子說了算,1
改善「楠梓百慕達」 高市府再增設燈箱、彩色標線,1
南市教育局依消保法祭罰YMCA 最低15萬、最高150萬元罰鍰,1
陳喬恩撿到錢捐公益險觸法　趕緊報案歸還錄影認錯,1
智能家電貼心相伴 輕鬆品味幸福醍醐味,1
金大與4企業簽產學合作意向書 共同培育博士級研發人才,1
登山想保平安避免山難 原住民教你「尊重神靈」之道,1
中職／洪總肯定劉玠廷 最少經費做出最好成績,1
她撿走！花10天尋夫皮夾 妻擬告「精神求償」,1
【北捷官員勾人妻1】他監考時狂獻殷勤　人妻好心換LINE竟是惡夢開始,0
港務公司獎學就業計畫 50萬年薪等你拿,1
台灣房屋千萬店東林紫雲 靠這練就一身功夫,1
永康商圈掀倒店潮！40家店撐不過疫情寒冬 慘況宛如士林夜市,1
喝酒開車撞傷騎士！肇事駕駛還哀求別報警,1
4人以上發車 南投客運幸福巴士開到魚池國姓,1
165.2萬死 美國累計1698.4萬例,1
一人睡雙人房喊貴 網神回「人生第一次旅遊嗎？」,1
中職／兄弟教練團改組 陳江和續留一軍負責戰術執行,1
Gogoro遭刀割+燒毀坐墊偷電池 官方回應了,1
朱富美：捍衛監院版人權會法草案 但尊重國會職權,1
女童抽中335萬特斯拉　侯友宜報喜連打2通都沒接原因曝光,1
縣議員買票遭判當選無效　遞補人也爆涉賄尷尬了,1
台中男交往4年想婚了！女方提2條件 他秒崩潰：這台北習俗？,1
澎衛生局加強宣導標示豬肉原產地,1
蘇偉碩遭衛福部「查水表」? 陳時中:依法處理,1
郭明錤：蘋果自駕車仍處於早期發展階段 不會太快進入市場,1
【北捷官員勾人妻3】乾爹要她開啟「傻妞模式」　他被人夫嗆還勾勾纏,0
傳煙火非全部台灣團隊製 台北101說話了,1
北大特區聚眾鬥毆連衣服都被脫下 好友反目成仇,1
五個Safari小技巧大公開！教你快速切換瀏覽紀錄、常用網站加入封面、一鍵速關分頁,1
持振興券加鈔票消費因需找錢遭拒 網怒回「店員沒邏輯」,1
屏東一天2起登山意外！山友昏倒登山口猝死 釀1死1傷,1
劉德華被偷用照片損失三億 才剛出新歌哭哭了,1
mmWave毫米波才是「真5G」？跟5G又有什麼關係？,1
【17直播斷麻吉4】執行長祕訓直播主　《科學小飛俠》9旬聲優竟爆紅,1
為何超商微波日本飯要150元？ 過來人爆真相：很值得！,1
別有居心？小叔搶訂婚戒和場地 準新娘怨婚禮點子被「複製貼上」,1
東泰高中陳思宇獲中餐烹調金手獎 鹹蛋黃鴨肉捲最驚艷,1
與3男同床睡 女控性侵卻因褲子敗訴,0
台中鴨肉店嗆外送員 foodpanda：已派人向店家收回機器,1
【朱連爭搶藍黨魁1】碎嘴爆李彥秀修修臉　竟成江啟臣核心內爆引信,1
霸王寒流凍死人！7人無生命跡象送醫 5人放棄急救,1
宅經濟當道 加熱即食的養生料理懶人必備,1
2024他出馬實力最強！前扁辦主任：但柯P是勝負關鍵,1
【國會大暴動】秩序恢復重啟點票　彭斯喊話暴徒：你們沒有贏,1
台中鴨肉店罵人金句變貼圖　網友敲碗：快上架,1
敬鵬搭上車用題材 盤中股價創32個月來新高,1
悲慟！爸病逝頭七換兒車禍死　父子告別式僅差1天,1
最美女主播黎在山 九頭身和甜美笑容震撼網友,1
MLB／數據網站新季預測：教士登頂國西、金河成年繳20轟,1
孤單跨年好寂寞？邊緣人下班喜收暖心禮品 網推好鄰居：已羨慕,1
總統府元旦開放參觀及升旗活動 實聯制防疫,1
武漢肺炎登上日本動漫！成最終大反派,1
嚇死寶寶！貌似蒼井優高中女生　當街遭72歲命理師求愛,0
雞排妹遭診所提告後慘況曝 認忙到「連性生活都沒有」,0
林群轉戰台睿生技董事長 打造新藥界聯發科,1
萊豬表決跑票遭停權 林淑芬、劉建國、江永昌回應了,1
冬日奇景！枯木上長出雪白「髮絲冰」 可遇不可求,1
武肺長期後遺症出現「嗅覺倒錯」　英醫師曝正常氣味恐變魚腥味,1
臉部危險三角別亂摸！嚴重恐引肺炎、腦膜炎，醫師：只有這招清鼻孔最不傷身,1
米粉久等了 小米宣布再推5G雙機10T Pro、10T,1
保戶服務再進化 康健人壽攜手聽力保健公司,1
紅酒連續竊盜犯竟是180公分美艷女賊　網：那麼漂亮幹嘛偷,1
HBL／新人王破綠色神盾 史魯齊：當地的比較強,1
MAMAMOO華莎曬深V辣照 輝人急忙怒喊：安堆,0
兒路邊求救6個月無人理 警破門見屍,0
台男疑欠債遭綁勒贖　菲警跨年夜攻堅逮中國籍嫌犯,1
他問寒流期間叫外送會殘忍嗎？被網笑傻：慈悲才是對人殘忍,1
換肝重生米堤飯店總經理 捐母校過溝百年慶數百萬賀禮,1
刑事局破假投資詐騙案 20人受害逮13嫌,1
Selina坐公園吃豆花　素顏照逆齡20歲令人吃驚,1
【國會大暴動】「美國史上最黑暗的日子」　拜登要川普站出來讓暴民撤退,1
花蓮石藝大街疑焊接火花釀災 濃煙直竄天際,1
失去「真愛」 騎士一哥勒夫需要找回「心靈導師」,1
幫後車買單！得來速店員1句話她後悔,1
金鐘視帝黑化演技爆發　《返校》影集本週迎精采結局,1
2020全球生活不容疫 回顧年度新聞堅持下去,1
雙子星收賄案 賴素如判刑7年半定讞,1
機師隱瞞 廣明女員工染疫破功了,1
「航海王」股價搭海盜船 貨櫃三雄爆鉅額成交量,1
買到手軟！央行無限量買美元 依舊不敵滔滔江水,1
日擬禁含台11國商務往來 外交部：研議中尚未宣布,1
林義芳餐廳傳惡性倒閉急滅火　盧靚遭疑串通股東亂放話超無奈,1
【獨家】李宣榕意外踩雷　結果胡宇威MV、現實都骨折,1
玩過頭！超瞎客人跨年民宿嗨一晚 竟摔爆桌「滿地碎玻璃」,1
新手媽媽必備這一支！德國百靈手持攪拌棒會伸縮更萬能,1
SBL／裕隆盧冠良強攻23分 三度擊退九太,1
全球陶笛賽線上較勁 暨大附中莊宗諺奪世界第二,1
自爆男友染疫雙北趴趴走　網紅被檢舉道歉「只是開玩笑」,1
房事問題大！范琪斐險鬧離婚　黃國昌與岳父爆衝突,0
影／大逆轉！熊貓外送員竟帶槍送餐 釀衝突被刺殺,0
「死前用金屬棒挖洞」39名越南偷渡者命案細節曝光,1
日本擬發布東京緊急狀態　「一都三縣」9日起凌晨生效,1
單日6移工確診！印尼1女移工在台二度驗陰性 到雇主家才確診,1
聞泰科技12吋車規晶圓廠 上海臨港開工,1
新手老爸莊東杰 指揮不忘帶娃,1
快訊／潛艦國造「智慧式聲納」輸出許可！ 軍：獲美通知,1
陽明大學決議廢除二一退學制 最快這學期實施,1
MLB／普伊格誓言改變形象 洋基、紅襪都想搶人,1
最好的工作？年收千萬講師曝5心法,1
醫美貴婦尋回財物曝光 落網乾弟竟是清大博士生兼助教,1
壓力反增？ 高中家長：成績沒達標，學習歷程再好也沒用,1
拒買早餐！流產女慘淪人肉標靶 毒男逼三選一強制性交,0
羅淑蕾告「是誰摔死了李新」3位影人誹謗 郭新政：她告了40人,1
罰不怕！強制猥褻3女服刑出獄後 他又性騷擾4少女,0
「七十三變」澎湖跨年場拋藍彩帶祈福 楊麗音演失智母共感滿滿,1
新冠肺炎確診+6 全都是境外移入移工,1
2021台灣燈會在新竹 最美燈區搶先看！,1
人妻約砲網友懷孕　老公怒告扯出5位「老王和小王」,0
《俘虜》日本名導大島渚首部英語發音電影 大衛鮑伊與坂本龍一「禁忌之吻」再現！,0
別殘害子宮！吃多「5大類」食物 經痛,1
測字：告別紛紛擾擾！你能帶著好運迎向2021年嗎？,1
泰國暴增逾500起病例 疫情往曼谷周邊蔓延,1
陸八成國土冰凍 南方人PO網：限電冷死了,0
呱吉自曝曾監看員工　唐鳳簡易妙招保護個資,1
【靚時尚】罩住溫暖,1
台新銀行贊助高球女將再傳捷報,1
大家會想生小孩嗎？ 網友熱議卻幾乎一面倒回「不」,1
7小時大暴衝！高雄溫差近20度 鄭明典驚曝原因,1
【炒股爆百億佣金4】囂張游迺文炒股無法無天　霸凌部屬害心臟病發不罷休,0
全台第一澎湖合橫海洋實驗小學揭牌,1
太撕心裂肺！公雞愛啼叫「缺氧倒地」爆紅 有人想用汽車交換,1
《霸王別姬》上映28週年！　造型師曝張國榮「白娘子」扮相網暴動,1
梁靜茹演唱〈可惜不是你〉再淚崩　鬆口談男友「天天視訊煲愛」,1
網逛美妝店赫見「低配版」眼線筆公主 員工：上貨都想笑,1
質詢萊豬進口 賴士葆、蘇揆拍桌互嗆,1
斷糧拉警報！若桃園也休耕 將創歷年最大面積停灌,1
協和鐵工廠－水泥攪拌機、拌合機、捲揚機,1
女外送員曝不做熊貓了　網續轟店家：騙人沒做過餐飲業,1
「豬肉儀錶板」進口量全曝光　元旦至今進口豬掛零,1
台南有忍者出沒？ 網友一看驚呼根本隱身術,1
The North Face x Gucci聯名系列明登場　最低6千元可入手,1
新北防疫旅館剩70間　侯友宜：優先給市民、支援外島,1
加藤鷹得意門生「1月拍20場」　魔舌神手因疫情「停機」,0
快新聞／境外移入+2！ 居美印度男持陰性報告「無症狀」確診,1
投資人可善用網路銷售基金平台 輕鬆理財變出大好未來,1
HBL／恐怖泰山狂轟118分 攜東山、東泰晉級,1
台南女國中生泣訴遭叔公非禮 陰影籠罩5年走不出來,0
明日寒流將再來襲！ 合歡山擬實施預警性封閉,1
影／小金門元旦升旗有「插曲」 國旗突遭風吹落現場哄堂大笑,1
川普號召民眾上華府抗議選舉不公 國民兵入駐以防失控,1
婆婆忘冰箱內「5年烏魚子」　黑到發綠網卻暴動：超值錢！,1
臘味界米其林！馮媽媽的店-眷村臘味工坊,1
比特幣衝衝衝! 飆破三萬美元新高後再崩跌,1
女外送員曝不做熊貓了　網續轟店家：騙人沒做過餐飲業,1
台幣升不停 紡織等3傳統產業影響大,1
渣男不滿舊愛另結新歡　揚言散布性愛照片,0
痛罵保險套影射網紅老師羅文　館長認罪遭判拘役20天,0
打造黃金比例好身材 綠豆樂瑜珈,1
HBL／南山女籃「娃娃兵」軍團 率先闖8強,1
草莓乾變化石！全黑還冒詭異白點 網傻眼：根本「發霉乾」,1
燕尾服蒙面俠登封面遭嫌棄！？　網友：跟國中生交往很噁,1
跟進日本禁商務人士？ 莊人祥：接受居檢14天就不加嚴,1
北台灣急凍7度 挑戰47年來最冷跨年夜！,1
南投僑光國小迎60校慶 找「環保界變形金剛」進駐校園,1
變種病毒冒出頭 疫苗無效? Moderna 股價重挫8.99%,1
起底金門時報！李正皓：低級頭版吸睛,1
美媒：美國會遭攻佔 心腹密議「拔川」可能性,1
五月天唱一半歌迷被警帶走　主辦單位：自主健康管理者違規被請離,1
偏鄉不偏鄉 新北5所國小STEM展創意,1
高中木棒／林逸翔投打發揮花體搶勝 鶯歌勝大理,1
快訊／布袋漁港驚傳轎車墜海 警消火速到場搜救,1
這款「白木耳」泳衣穿了怎游泳？ 網一面倒批：中看不中用,1
證交所打臉　淘帝KY投資基金重訊不符遭罰30萬,1
【母娘乩身淪白賊1】算命1小時收6千　她誆「月賺百萬」揪信徒搞直銷,1
不讓博愛座遭老人家碎念 「年輕人」下車前一個動作瞬間打臉,1
任教台科大逾40年傳愛學子 外籍師羅麗霞辭世,1
防疫學習不斷電 故宮推出海外留學生短期研習計畫,1
元旦連假結束…共軍4電偵機闖我西南空域 今年單日最高,1
夫月賺40萬！人妻卻嗆「跟廢物一樣」　網一句突破盲點,1
時尚質青看過來！線上精品 憑什麼每單3萬元起跳？,1
3M 全效包覆抗蟎四件組 升級登場,1
一罐豆漿救醒低血糖倒臥老人！國中生熱心助人獲表揚,1
金宣虎呼籲吃熱狗「能沾的醬都要沾」　兔耳、賣地瓜男孩入戲笑壞85萬粉,1
【動物冷知識】再會逃的魚都沒有用！這類生物「嘴巴深處還有嘴」,1
太平山莊早上氣溫2度 民眾搶先上山等雪,1
2020北市獨立停車位交易 最貴在中正區,1
唐綺陽運勢／1星座有望遇真命天子,1
副機師居檢打小白球、自主健康逛賣場　華航證實最重開除,1
NCT化妝師跟確診者路線重疊 緊急取消節目錄製,1
摸完胸部就給手機玩　變態司機猥褻國小姊妹,0
顧客怨「暱稱買包裹不能取貨」還公審 店員崩潰：我錯了嗎？,1
心理測驗／2020最後一天你累癱了嗎？ 4圖形測驗累積疲勞度,1
富邦金公開收購參與應賣否 日盛金說話了,1
練再壯都擋不了肺炎　筋肉大叔武田真治確診,1
偷開別人水龍頭洗車 還來回輾狗！ 網怒：拳頭硬了,1
全球疫情重災區墨西哥 批准緊急使用牛津疫苗,1
李遠哲挺萊豬「標準內相當安全」　葉毓蘭嘆諾貝爾光環黯淡,1
中職／結束階段性任務 劉玠廷卸下猿隊領隊職務,1
羽球／重啟賽程前夕傳多人確診 BWF官網引戴資穎金句,1
國中當班長遭導師猥褻捏胸頂下體 審到她26歲了還沒完,0
趙雲喊常山趙子龍 關羽自稱只用2字,1
教育部修作業要點 育兒津貼不再像「少領一個月」,1
台灣防疫生活「正常到詭異」　紐時：好運還能持續多久？,1
包爾市場行情破億元美金 7支球隊是可能的新東家,1
快新聞／桃園市跨年是否改為線上轉播或停辦？ 鄭文燦：前一天若有重大疫情會調整,1
金門鄉親赴台就醫 立委發起家屬免費住宿服務,1
男子遭女陪侍控告「咬乳性侵」　檢方勘驗監視器畫面結局逆轉,0
尼羅河大壩爭端吵10年 新年伊始現曙光,1
每天半夜開始鬧! 惡鄰「暴力關門」還狂吹哨,1
藝圈轉電商 邵庭：為賭一口氣,1
嘆與世界脫軌 王全璋：適應家庭生活成最大挑戰,1
批王浩宇如「古代宦官陷害忠良」　王世堅：罷免掉是替天行道,1
今年度十大熱門ETF榜 0056拿下冠軍,1
劉德華「拆彈2」截肢斷腿 全程跪姿拍片,0
HBL／第四節貢獻14分 松山射手轟下地主,1
殺3次才成功！友為詐保4千萬 灌醉單純男逼去雪地凍死,0
【乾爹吸光直播主2】乾爹輕鬆騙到千萬　只因掌握直播主一個心態,1
誇張！日租套房冒檢疫所住9名檢疫者 中市府開罰20萬,1
影／台南安通路面積沙土 1天4輛機車打滑,1
立院加開臨時會　蘇揆分6梯次與綠委餐敘,1
興大提升「染料敏化太陽能電池」效率登國際頂尖期刊,1
射程涵蓋國軍大多數基地　中國高調裝備新型火箭,1
"微星科技愛心捐293萬元 造福新北1,830位學童",1
北台灣濕涼冷 嘉義以南27度,1
【新冠肺炎/不斷更新】全球逾7509萬例,1
日本將全面鎖國？　傳政府考慮全面暫停外籍人士入境,1
她怨跨年前夕因「身材太好」被分手 網友神解曝真相,1
公司一句話約面試 求職女氣炸「不想去」掀網友論戰,1
英國變種病毒肆虐 專家：「將擊敗所有毒株」攻陷全球,1
續約電信竟送「AirPods」 內行人解答：妳太天真,1
台中港外海捕烏魚 意外捕到4000多公斤白帶魚,1
台師大每學期擬縮短為16周 7成管院生支持,1
蜜月期結束政府滿意度下滑 蘇貞昌：繼續檢討努力,1
隆達合組富采投控 共同開發國際客戶,1
46歲周迅再爆婚變 老公高聖遠深情擁吻正妹照瘋傳,0
廚房裝修必懂7重點！止滑、軌道門、抽拉水龍頭很重要,1
【早餐店性侵魔4】2度下殺手還故布疑陣　警追查竟發現其他受害者,0
NBA／波特將持續隔離至少10天 金塊戰力大受打擊,1
整型名醫張炯銘宜蘭蓋民宿　耕田種菜自給自足,1
石木欽案 富商竟擁27本討好高官祕笈,1
狂粉「英國奶奶」為他砸300萬　男星悼：永遠留一個位子給您,1
見粉色安全帽忍不住！壯漢性起公然在機車旁掏鳥自慰,1
【專家之眼】疫苗不是萬能 但沒疫苗是萬萬不能,1
不滿美國軍售台灣武器？連勝文批：花大錢造就美國,1
民法成年下修至18歲 我的所得稅、遺贈稅需要多繳嗎？,1
美國太空部隊資深飛行員 蹺課排隊買PS5被降階、降薪,1
小號演奏家曾猥褻少女 這次性侵女性朋友遭判刑3年2月,0
美國起訴沃爾瑪 助長鴉片類藥物濫用,1
危老重建一年衝千件 時程容積獎勵5月前仍有8%,1
長頸鹿寶寶誕生！79.6公斤超健康最快農曆年亮相,1
台中一中學生拒讓座遭毆　阿伯怒嗆「敗類」報警秒逃下車,1
世界各地都有房！爆張韶涵「買下小島」　島上奢華裝潢曝光,1
超級友善！這所大學身心障礙學生170餘人居中部之冠,1
張其強:停止歡樂耶誕城內 戶外集會型活動,1
FB留言「GG」跳出彩蛋！ 2隻造型手擊拳動畫現身,1
34歲女富商全身赤裸　抱5月女嬰墜樓亡,0
黃秋生爆KID「被女粉舔整晚」,0
大陸外長連續31年新年首訪非洲 王毅將到訪五國,1
海軍稱「因敵情威脅劇增」2023加速完成6艘沱江級艦,1
墾丁山海有療效空口無憑 高師大科環所用科學證實,1
送接孩子上下學被檢舉違停 桃園龍潭國小劃臨停區,1
嚇死寶寶！貌似蒼井優高中女生　當街遭72歲命理師求愛,0
超商開工優惠 萊爾富大杯咖啡買5送5、OKmart蛋撻2件8折,1
子瑜在韓被欺負？粉氣炸：妳值得更好,1
洩密給毒販女友做人情　巡佐假借辦案之名逼約砲遭重判,0
壓力大！少時秀英跟他「奔向愛情」,1
兩段式左轉不夠？ 這縣市迷宮系路標七段式讓人騎到像鬼打牆,1
台鐵桃園路段驚傳死傷事故！行人入侵鐵到遭區間車猛撞「當場死亡」,1
長榮航空罰定了！機師變破口1傳3人 本周決定開罰單或縮減航班,1
台股續創歷史新高 權證積極操作,1
國中時入圍金馬新人獎 今年選成大不分系繼續人生,1
持刀恐嚇女友逼性侵　恐怖前男友傳分屍新聞「死也要找妳」遭逮,0
【獨家】中國打壓？　華航新塗裝貨機今首航香港被迫喊卡,1
教部禁校園萊豬並發函家長 立委：請把手放開,1
《還願》復活又被下架　赤燭：難以克服的困境,1
疫情帶來新流行：數位詐欺激增35% 亂點簡訊連結小心淪為共犯,1
台增6例武漢肺炎境外移入 菲律賓印尼各3人,1
蘋果可能藉「Launch@Apple」計畫招募更多財金、會計相關人才,1
醉漢當心！爛醉還想搭車 小黃可拒載,1
中途島失聯「船在人不在」 家屬淚求政府：救救我先生,1
國產雜糧隱形冠軍　中都農業生產合作社　串連本土大豆產業鍊,1
樹林高中傳學生段考用Line群組集體作弊 校長：20多人涉弊,1
連六天新增５萬人確診 英國在野黨呼籲快封城,1
岡山橋頭晚間火警 影響左營、鼓山、楠梓、仁武空氣品質,1
疫情衝擊 大陸40大城市 八成去年房租下滑,1
美國交易所要求三家「與軍方有聯繫」中國國企退市,1
兩波寒流接力！最冷時間點曝光北部空曠區恐下探3度,1
大潭海象差公安多 才釀墜海3死仍要蓋,1
註冊率未達6成 台灣首府大學：下學年度達標有信心,1
張其強:停止歡樂耶誕城內 戶外集會型活動,1
鴨肉店近萬負評消失重回4.8星　「新粉專」道歉反讓網友爆氣,1
【北捷官員勾人妻】傳鹹溼簡訊還上門堵人　北捷官員死纏人妻,0
【港府大拘捕】港府拘捕逾50人「關切」新聞媒體　人權團體：白色恐怖,1
民團調查萊豬立場 綠委多數不願表態,1
被詐1.4億？陳莎莉：像噩夢,1
18歲扶輪社青少年獨闖異國生活 達成另類成長學分,1
甩肉有成竟被盜圖 劉爾金喊告,1
NBA／暴龍開季1勝5敗 范弗利特：必須靠自己解決問題,1
池昌旭帥到被分手？ 竟稱討厭自己的臉,1
【關鍵對話】(中)投資兼保障 類全委保單交專業團隊操作,1
疑涉時力人頭黨員案被移送檢調 黃捷：尊重,1
台灣房屋千萬店東林紫雲 靠這練就一身功夫,1
【茅山術擒殺警凶】2巡邏警遭殘殺奪槍　道士施法下符助緝凶,0
【偷情人妻長官罩】督導偷吃美女社工　綠帽夫控台中社會局包庇,0
勞動部屏東就業中心「幸福聖誕•歲末送暖」,1
大雄乘時光機回去找「奶奶的回憶」　哆啦A夢農曆春節感動上映,1
2021台北跨年 3大亮點搶先看,1
首談小哈利曝女裝照　伊能靜一席話讓人眼眶紅了,1
網紅空姐多人開趴激吻男子畫面曝光　「全身僵硬」遭運屍3嫌獲釋,0
快訊／染疫俄舞團仍有成員不撤離 北市府持續溝通中,1
上山打獵發現失蹤40天男子 致電老婆稱意外變「英雄獵人」,1
紅酒連續竊盜犯竟是180公分美艷女賊 網：那麼漂亮幹嘛偷,1
中職／助總上任盯球員態度 才能回饋球迷、對得起自己,1
蔡英文也在追進度 教育部創新條例為何急著拍板？,1
【MV惹人嫌】「象神」放地上犯大忌　女團MV惹怒印度人秒刪畫面,1
恢單2個月桃花開 周興哲耶誕夜被嫩妹醉撲,0
【乾爹吸光直播主】豪擲斗內買榜搏信任　超正直播主慘遭乾爹吸光,1
引誘5歲女童至漆黑停車場猥褻 色狼遭家屬動用私刑毆打致死,0
台灣生鮮豬肉出口再傳捷報 有望新增菲律賓,1
萊豬風暴！本土溫體醃豬肉業者訂單滿 怕買不到肉,1
淡北道路異見再起 地方憂動工恐又延期,1
水墨暈染翻轉樂華夜市 復興商工學生畫出另類新北風景,1
4號店！「松屋」進軍行天宮商圈 醬蒜奶油雞腿新上桌,1
影／女子隨團登玉山 排雲山莊前癲癇發作直升機運下山,1
快訊／再增2境外移入 印尼、菲律賓籍移工無症狀確診,1
樹+鳥+「喊走」畫啥？ 南女中校慶邀請卡解讀大挑戰,1
廖國棟續押2個月,1
高中木棒／盧泓捷7.2局飆12K 三民預賽3連勝,1
疑積欠4萬債務多年 男右手臂遭友開1槍,1
做了蘋果派才發現荷莉貝瑞不能吃　影后想出解決辦法,1
108年度綜所稅補稅單已寄發 北台灣計7.8萬件,1
【勞動基金炒遠百1】炒股餐會曝光　游迺文密會大咖財務長談2檔股票,1
小米10 Lite快速動手玩！最平價的S765G 5G手機,1
傳急性盲腸炎手術 王金平已返家休養,1
女兒每場球賽必到！李李仁爆叫囂謾罵「道歉情緒太激動」,1
胡宇威骨折坐輪椅力挺《全明星運動會》　李玖哲不捨道別淚灑小巨蛋,1
防疫優先中市府尾牙暫緩 盧秀燕：中央地方一致,1
撂話「血洗全台跨年」組炸彈團 警上門逮2嫌偵訊中,0
噁！女學生收費純聊天 黃士修問「有加S？」掏皮夾暗示,0
明年基隆教育環境再提升 林右昌推3新措施,1
花蓮老夫婦15年前拯救棄嬰　美國少年寫信跨海找到救命恩人,1
吃番紅花會滑胎？專家揭關鍵：勿擔心,1
教團彙整40所「待退」私校 憂政府千百億補助款淪家產,1
廢電池換小沙發半年遭竊5次  誠實商店：拜託小偷別再光顧了！,1
賓士車進地下停車場遇大雨竟泡湯 管理業者賠127萬確定,1
肥宅假裝帥男模騙炮 　一句「妳覺得我胖嗎？」露餡,0
律師考試核心領域400分門檻惹議 110年跨院協調,1
擊垮Pornhub的記者盯上XVIDEOS 他曝恐怖內幕老司機全瘋了,0
【姊妹共治新光金】李紀珠臉書自曝功勞　吳家老臣回嗆本來就在做,1
【國會大暴動】川普推特喊話無效　拜登痛批：這是對民主的攻擊,1
蘇貞昌9年前籲地方制定更嚴規範 今天說食安應全國統一,1
SEIKO再現王者風範！延續60年代美學復刻經典King Seiko腕表,1
泰國少女歌手蓋兒音樂會自彈自唱　嘉賓陳零九笑稱可以生她了,1
經過一年多的等待 歐盟終於批准Google收購Fitbit,1
外界好奇大象為何併螞蟻？ 富邦金列3大理由,1
西蒙斯有如年輕時的詹皇 魔獸是拍馬屁還是真讚美？,1
客付現金訂「近兩萬餐點」 外送員傻眼：吃掉半個月薪水,1
陸航母研製總指揮胡問鳴遭開除黨籍 涉權錢色八大罪名,0
棒球／投教陳冠宇 點出台日投手差距,1
台灣之星跨年動員400人次 頻寬容量擴三倍,1
打炒房 財長：房地合一稅也在檢討範圍,1
升勢煞不住？新台幣早盤升逾4角觸及28.02元,1
回憶殺！《放羊的星星》將翻拍林志穎打氣　劉荷娜13年後成二寶媽,1
「直逼霸王級」寒流全台凍3天　氣象專家提醒8類人要注意,1
俄美菲新冠病毒侵台 4名藝文表演團體成員出關後確診,1
訂民宿匯款3萬6千元找嘸人 誤信「一頁式網站」報案,1
叫他Party King！ 非典型男孩Ponzii劉昊,1
掃地機器人「逃家」逛大街不忘本分 網笑翻：掃全台超佛心,1
台南圓環越改越危險？　網瘋傳一張圖狠嗆交通局,1
中共威脅國安 嚴德發籲國軍團結,1
副機師居檢打小白球、自主健康逛賣場　華航證實最重開除,1
微軟首認遭攻擊：駭客查看部分原始碼 未影響客戶,1
年薪破2000萬反而讓人不快樂？ 網友提自身經驗：原來不是幹話,1
婦人撞無牌機車倒地 遭酒駕男輾斃,1
外交部送出蔡總統致拜登賀電 戰略專家揪出問題,1
Apple Watch心電圖正式登場！如何操作？30 秒實測給你看,1
建築師捐國小母校百萬獎助金 助聘外師補救英語已15年,1
中研院院士葉永烜、特聘研究員陳瑞華 獲TWAS科學獎,1
結帳前不必再心算 4月起日本商品標價全是含稅價,1
失蹤40天奇蹟生還！新竹37歲男子闖中橫跳下100M深谷,1
民法成年下修至18歲 我的所得稅、遺贈稅需要多繳嗎？,1
「零負評」南科前管理局長 退休後1周住院病故,1
身價41.9億「豆豆先生」放話不幹了　他嘆：壓力大又累,1
李陣郁選擇和善良美眉活下去　御姐李施昤笑嗆：一切都來不及了,1
李遠哲稱「糖也是毒」護萊豬　黃暐瀚反嗆：但糖有標示,1
27本神祕筆記曝光 蘇怒查2百人,1
還原車吻經過 謝忻歎：昏頭了,1
保全李宗瑞密室囚少女還誤導辦案 檢認「心理達病態」求刑11年,0
日租房偽裝檢疫所防疫破口 中市府：便宜沒保障,1
姚淳耀激動入戲深　「透明液體」沾滿李玲葦臉,0
國聯中區五隊一齊擺爛 形同職業運動之恥,1
「吳立委」介入疫苗採購內線交易 孫大千：檢調睡著了,1
【全文】偏房三官司敗訴長房反擊　霧峰林家爆百億爭產風波,1
行政院停辦全院尾牙 蘇貞昌：各機關可自辦小型餐會,1
絕食逾96個小時 沈智慧血壓不穩送醫,0
【球星不雅片內幕3】獨家直擊！不雅片曝光前傳喬事　領航猿總教練現身酒店,0
婚後開房恩愛 夫妻曾把床玩壞,0
港府大捉捕逾50人遭拘　參與公民行動被控顛覆國家政權,1
鄭茵聲開車開到沒油自嘲「北七」　男友劉書宏提油神救援超暖心,1
2021台灣燈會新竹登場！交管措施看這裡,1
私校表現成焦點！大專109學年度全校註冊率 上午10時揭曉,1
阿公又來匯款百萬要「投資」？ 員警、女行員苦勸阻詐,1
鴻海飆高 鴻家軍同樂！ 廣宇、榮創漲停,1
熱門新聞,1
中職／洪總肯定劉玠廷 最少經費做出最好成績,1
台幣匯率狂升！ 王美花：傳產需拚轉型 提升附加價值,1
進口丹麥豬卻貼台灣豬標章　八方雲集澄清：南北不同均有標示,1
【病毒變種】日本抗疫不惜鎖國　明年1月底前禁外國人入境,1
【專家之眼】既然經濟表現不差 兩岸為什麼要對話？,1
人工流產=殺人？女性爭取生育自主權的困難,1
大哥沒有輸？ 川普白宮談話重申選舉舞弊：美國人很憤怒,1
天氣變冷是心血管疾病大敵！ 10種食物有助降血壓,1
